trial sun/dMass 700d/dObliquity 700e/dObliquity 
1_5_1 0.436000 50.000000 10.000000
1_5_2 0.436000 50.000000 20.000000
1_5_3 0.436000 50.000000 30.000000
1_5_4 0.436000 50.000000 40.000000
1_5_5 0.436000 50.000000 50.000000
1_5_6 0.436000 50.000000 60.000000
1_5_7 0.436000 50.000000 70.000000
1_5_8 0.436000 50.000000 80.000000
1_5_9 0.436000 50.000000 90.000000
1_6_0 0.436000 60.000000 0.000000
1_6_1 0.436000 60.000000 10.000000
1_6_2 0.436000 60.000000 20.000000
1_6_3 0.436000 60.000000 30.000000
1_6_4 0.436000 60.000000 40.000000
1_6_5 0.436000 60.000000 50.000000
1_6_6 0.436000 60.000000 60.000000
1_6_7 0.436000 60.000000 70.000000
1_6_8 0.436000 60.000000 80.000000
1_6_9 0.436000 60.000000 90.000000
1_7_0 0.436000 70.000000 0.000000
1_7_1 0.436000 70.000000 10.000000
1_7_2 0.436000 70.000000 20.000000
1_7_3 0.436000 70.000000 30.000000
1_7_4 0.436000 70.000000 40.000000
1_7_5 0.436000 70.000000 50.000000
1_7_6 0.436000 70.000000 60.000000
1_7_7 0.436000 70.000000 70.000000
1_7_8 0.436000 70.000000 80.000000
1_7_9 0.436000 70.000000 90.000000
1_8_0 0.436000 80.000000 0.000000
1_8_1 0.436000 80.000000 10.000000
1_8_2 0.436000 80.000000 20.000000
1_8_3 0.436000 80.000000 30.000000
1_8_4 0.436000 80.000000 40.000000
1_8_5 0.436000 80.000000 50.000000
1_8_6 0.436000 80.000000 60.000000
1_8_7 0.436000 80.000000 70.000000
1_8_8 0.436000 80.000000 80.000000
1_8_9 0.436000 80.000000 90.000000
1_9_0 0.436000 90.000000 0.000000
1_9_1 0.436000 90.000000 10.000000
1_9_2 0.436000 90.000000 20.000000
1_9_3 0.436000 90.000000 30.000000
1_9_4 0.436000 90.000000 40.000000
1_9_5 0.436000 90.000000 50.000000
1_9_6 0.436000 90.000000 60.000000
1_9_7 0.436000 90.000000 70.000000
1_9_8 0.436000 90.000000 80.000000
1_9_9 0.436000 90.000000 90.000000
